date,source,titre,texte
2026-02-18,Le Quotidien Local,Grève des trains : trafic perturbé dans plusieurs régions,Une grève reconductible des conducteurs a réduit la circulation des trains ce matin. Les syndicats dénoncent une dégradation des conditions de travail et demandent une revalorisation salariale. Le ministère évoque des négociations en cours et recommande d'anticiper les déplacements.
2026-02-20,InfoTech,L’IA générative s’invite dans les services publics,"Plusieurs administrations testent des assistants d’écriture pour résumer des dossiers et aider à répondre aux usagers. Les responsables promettent un encadrement strict, notamment sur la protection des données. Des associations s’inquiètent d’un risque d’erreurs et de décisions opaques."
2026-02-21,ÉcoMatin,"Inflation : la hausse des prix ralentit, mais l’alimentation reste chère","Les derniers indicateurs montrent un ralentissement de l’inflation sur un an. Les coûts de l’énergie se stabilisent, tandis que certains produits alimentaires continuent d’augmenter. Les ménages modestes disent réduire les dépenses non essentielles."
2026-02-22,Sport & Ville,Le club de la capitale se qualifie au bout du suspense,"Dans un match très disputé, l’équipe s’est imposée aux tirs au but après un nul. L’entraîneur a salué l’état d’esprit et la solidité défensive. Les supporters ont célébré tard dans la nuit malgré la pluie."
2026-02-23,Planète,Sécheresse : des restrictions d’eau prolongées au printemps,Plusieurs départements envisagent de prolonger les restrictions d’arrosage et de remplissage des piscines. Les niveaux des nappes restent bas après un hiver peu arrosé. Les élus appellent à accélérer la rénovation des réseaux pour limiter les fuites.
2026-02-24,Culture Pop,Un festival mise sur la scène émergente et les formats courts,Le programme annonce une place importante aux jeunes artistes et aux créations de moins de trente minutes. Les organisateurs veulent attirer un public plus large et tester de nouveaux lieux. Les billets à tarif réduit partent rapidement.
2026-02-25,Santé & Société,Vaccination : une campagne de rappel ciblée sur les plus fragiles,Les autorités sanitaires lancent une campagne de rappel pour les personnes âgées et immunodéprimées. Les médecins insistent sur l’intérêt de se protéger avant la fin de l’hiver. Certains patients disent être perdus face aux recommandations qui évoluent.
2026-02-26,Numérique,Fuite de données : une entreprise promet des mesures renforcées,"Après la découverte d’une base exposée, l’entreprise assure avoir corrigé la faille et ouvert une enquête. Des clients redoutent l’usurpation d’identité. La CNIL pourrait être saisie si des manquements sont confirmés."
2026-02-27,Éducation,Parcoursup : les lycéens demandent plus de transparence,"À l’approche des résultats, des lycéens et parents d’élèves réclament des critères plus lisibles. Les établissements répondent que les dossiers sont évalués de manière globale. Les psychologues de l’orientation appellent à réduire la pression."
2026-02-28,Mobilités,Vélos en ville : le plan de pistes cyclables accélère,La métropole annonce de nouveaux aménagements sur les grands axes et des stationnements sécurisés. Les associations cyclistes saluent la décision mais demandent un entretien plus régulier. Des commerçants s’inquiètent de la suppression de places de voiture.
2026-02-15,Planète,Éolien : débat sur l’implantation de nouveaux parcs,Un projet d’éoliennes suscite des avis opposés. Les partisans mettent en avant l’indépendance énergétique et la baisse des émissions. Les riverains dénoncent les nuisances visuelles et sonores et demandent une concertation plus longue.
2026-02-16,ÉcoMatin,Budget des ménages : les achats d’occasion progressent,"Face aux prix, de plus en plus de consommateurs se tournent vers la seconde main. Les plateformes en ligne et les friperies multiplient les offres. Des économistes y voient un changement durable des habitudes."
2026-02-17,Numérique,Réseaux sociaux : une nouvelle option pour limiter les contenus toxiques,Une plateforme propose un réglage simplifié pour filtrer les insultes et la désinformation. L’entreprise promet plus de contrôle pour les utilisateurs. Des chercheurs rappellent que la modération automatique reste imparfaite.
2026-02-19,Santé & Société,Hôpitaux : les urgences sous tension le week-end,Plusieurs services signalent un afflux de patients et un manque de personnel. Les soignants demandent des renforts et une meilleure organisation. Les autorités évoquent des mesures temporaires et des recrutements.
2026-02-20,Culture Pop,Série française : un succès surprise grâce au bouche-à-oreille,"La série, lancée discrètement, grimpe dans les classements en quelques jours. Les critiques saluent l’écriture et le rythme. Les producteurs annoncent réfléchir à une deuxième saison."
2026-02-21,Mobilités,Covoiturage : une voie réservée testée sur le périphérique,La ville expérimente une voie dédiée aux véhicules avec plusieurs occupants. Objectif : réduire les embouteillages et la pollution. Des automobilistes jugent la mesure injuste et craignent des contrôles compliqués.
2026-02-22,Éducation,Réforme du lycée : des enseignants dénoncent une surcharge,Des professeurs estiment que les nouveaux programmes sont trop denses. Le ministère défend une montée en compétences progressive. Des élèves disent manquer de temps pour s’entraîner avant les examens.
2026-02-23,InfoTech,Start-up : levée de fonds pour une IA de traduction spécialisée,Une jeune entreprise annonce une levée de fonds pour développer une traduction adaptée au médical et au juridique. Les investisseurs parient sur des gains de productivité. Des traducteurs craignent une baisse des tarifs et une uniformisation du style.
2026-02-24,Sport & Ville,Stade rénové : promesse d’un accueil plus inclusif,Le stade modernisé prévoit des accès facilités et des zones familiales. La municipalité met en avant la sécurité et le confort. Certains habitants regrettent le coût et demandent plus d’équipements de proximité.
2026-02-25,Le Quotidien Local,Alerte météo : vents forts et toitures endommagées,Des rafales ont causé des dégâts matériels dans plusieurs communes. Les pompiers sont intervenus pour sécuriser des routes et des bâtiments. Les habitants racontent une nuit difficile mais aucune victime n’est signalée.
2026-02-17,Numérique,Réseaux sociaux : une nouvelle option pour limiter les contenus toxiques,Une plateforme propose un réglage simplifié pour filtrer les insultes et la désinformation. L’entreprise promet plus de contrôle pour les utilisateurs. Des chercheurs rappellent que la modération automatique reste imparfaite. Les oppositions dénoncent une communication jugée insuffisante.
2026-02-20,InfoTech,L’IA générative s’invite dans les services publics,"Plusieurs administrations testent des assistants d’écriture pour résumer des dossiers et aider à répondre aux usagers. Les responsables promettent un encadrement strict, notamment sur la protection des données. Des associations s’inquiètent d’un risque d’erreurs et de décisions opaques. Les experts rappellent que les chiffres doivent être interprétés avec prudence."
2026-02-22,Éducation,Réforme du lycée : des enseignants dénoncent une surcharge,Des professeurs estiment que les nouveaux programmes sont trop denses. Le ministère défend une montée en compétences progressive. Des élèves disent manquer de temps pour s’entraîner avant les examens. Les oppositions dénoncent une communication jugée insuffisante.
2026-02-17,Numérique,Réseaux sociaux : une nouvelle option pour limiter les contenus toxiques,Une plateforme propose un réglage simplifié pour filtrer les insultes et la désinformation. L’entreprise promet plus de contrôle pour les utilisateurs. Des chercheurs rappellent que la modération automatique reste imparfaite. Les experts rappellent que les chiffres doivent être interprétés avec prudence.
2026-02-21,Mobilités,Covoiturage : une voie réservée testée sur le périphérique,La ville expérimente une voie dédiée aux véhicules avec plusieurs occupants. Objectif : réduire les embouteillages et la pollution. Des automobilistes jugent la mesure injuste et craignent des contrôles compliqués. Les experts rappellent que les chiffres doivent être interprétés avec prudence.
